id	name	group	subgroup	cat	value	country
skills_Basic_Cont_4	Negotiation	Skills	2	skills_Social	0.0027475	AUT
skills_read_comp	Reading Comprehension	Skills	2	skills_Basic_Cont	0.0241854	AUT
skills_Syst_2	Time Management	Skills	2	skills_Res_Mgmt	0.0100302	AUT
know_math_3	Physics	Knowledge	2	know_math	0.0050078	AUT
skills_Basic_Process_2	Technology Design	Skills	2	skills_Tech	0.0050252	AUT
ab_reac_time	Reaction Time and Speed Abilities	Abilities	1	ab_reac_time	-0.0099056	AUT
skills_speak	Speaking	Skills	2	skills_Basic_Cont	0.0156997	AUT
know_law_2	Public Safety and Security	Knowledge	2	know_law	-0.0010046	AUT
know_math_4	Chemistry	Knowledge	2	know_math	-0.0049532	AUT
skills_Complex_Pb_1	Operation and Control	Skills	2	skills_Tech	-0.0131899	AUT
skills_Tech_1	Judgment and Decision Making	Skills	2	skills_Syst	0.0148391	AUT
skills_act_li	Active Listening	Skills	2	skills_Basic_Cont	0.0146366	AUT
skills_Basic_Cont_1	Social Perceptiveness	Skills	2	skills_Social	0.0096756	AUT
know_bis_1	Administration and Management	Knowledge	2	know_bis	0.002517	AUT
skills_Syst_3	Management of Financial Resources	Skills	2	skills_Res_Mgmt	0.0014194	AUT
ab_attent	Attentiveness	Abilities	1	ab_attent	0.0019989	AUT
ab_spatial	Spatial Abilities	Abilities	1	ab_spatial	-0.0036238	AUT
know_math_6	Psychology	Knowledge	2	know_math	0.0143269	AUT
know_law_1	Philosophy and Theology	Knowledge	2	know_arts	0.0101086	AUT
skills_learning	Learning Strategies	Skills	2	skills_Basic_Process	0.0165099	AUT
skills_Tech_2	Systems Analysis	Skills	2	skills_Syst	0.0173374	AUT
skills_Complex_Pb_5	Quality Control Analysis	Skills	2	skills_Tech	-0.0010642	AUT
know_math_1	Mechanics	Knowledge	2	know_eng	-0.0036557	AUT
skills_math	Mathematics	Skills	2	skills_Basic_Cont	0.0136036	AUT
skills_Complex_Pb_2	Equipment Maintenance	Skills	2	skills_Tech	-0.0044061	AUT
know_math_7	Sociology and Anthropology	Knowledge	2	know_math	0.013105	AUT
skills_act_le	Active Learning	Skills	2	skills_Basic_Process	0.0165822	AUT
ab_control_mov	Control Movement Abilities	Abilities	1	ab_control_mov	-0.0147268	AUT
know_bis_2	Clerical	Knowledge	2	know_bis	0.0317354	AUT
know_math_2	Mathematics	Knowledge	2	know_math	0.0184435	AUT
ab_flex	Flexibility, Balance and Coordination	Abilities	1	ab_flex	-0.0106768	AUT
know_bis_3	Economics and Accounting	Knowledge	2	know_bis	0.007173	AUT
skills_Basic_Process_3	Equipment Selection	Skills	2	skills_Tech	-0.0003987	AUT
know_math_5	Biology	Knowledge	2	know_math	-0.0001828	AUT
ab_reason	Reasoning Abilities	Abilities	1	ab_reason	0.014336	AUT
know_trans_1	Communications and Media	Knowledge	2	know_com	0.0095532	AUT
skills_Complex_Pb_4	Repairing	Skills	2	skills_Tech	-0.0036559	AUT
know_eng	Engineering, Mechanics and Technology	Knowledge	1	know_eng	0.0139173	AUT
ab_quant	Quantitative Abilities	Abilities	1	ab_quant	0.0138062	AUT
skills_Basic_Cont_6	Service Orientation	Skills	2	skills_Social	0.0058233	AUT
know_eng_2	Computers and Electronics	Knowledge	2	know_eng	0.0347233	AUT
skills_Res_Mgmt_1	Management of Material Resources	Skills	2	skills_Res_Mgmt	0.0014076	AUT
ab_visual	Visual Abilities	Abilities	1	ab_visual	-0.0034686	AUT
ab_mem	Memory Abilities	Abilities	1	ab_mem	0.0081094	AUT
know_com_2	Telecommunications	Knowledge	2	know_com	0.0023192	AUT
know_manu_1	Personnel and Human Resources	Knowledge	2	know_bis	0.0017604	AUT
skills_critical	Critical Thinking	Skills	2	skills_Basic_Process	0.0154323	AUT
know_eng_4	Design	Knowledge	2	know_eng	0.0054193	AUT
know_arts_2	Fine Arts	Knowledge	2	know_arts	0.004956	AUT
know_bis_5	Customer and Personal Service	Knowledge	2	know_bis	0.0055887	AUT
skills_mon	Monitoring	Skills	2	skills_Basic_Process	0.0103828	AUT
know_bis_4	Sales and Marketing	Knowledge	2	know_bis	-0.0108375	AUT
skills_Syst_1	Systems Evaluation	Skills	2	skills_Syst	0.015764	AUT
skills_Social_1	Installation	Skills	2	skills_Tech	0.0019207	AUT
ab_audio	Auditory and Speech Abilities	Abilities	1	ab_audio	0.0007196	AUT
know_health_2	Medicine and Dentistry	Knowledge	2	know_health	0.0092063	AUT
know_manu_2	Production and Processing	Knowledge	2	know_manu	-0.0048874	AUT
know_eng_5	Building and Construction	Knowledge	2	know_eng	-0.0097631	AUT
skills_Basic_Process_1	Operations Analysis	Skills	2	skills_Tech	0.0109271	AUT
skills_Social_3	Operation Monitoring	Skills	2	skills_Tech	-0.0049834	AUT
ab_verbal	Verbal Abilities	Abilities	1	ab_verbal	0.0187537	AUT
ab_manip	Fine Manipulative Abilities	Abilities	1	ab_manip	-0.0105864	AUT
know_eng_1	Food Production	Knowledge	2	know_manu	-0.0212313	AUT
know_arts_1	Therapy and Counseling	Knowledge	2	know_health	0.0138888	AUT
ab_strength	Physical Strength	Abilities	1	ab_strength	-0.014333	AUT
skills_Res_Mgmt_2	Management of Personnel Resources	Skills	2	skills_Res_Mgmt	0.0054298	AUT
