Country,occupation,status
AUT,11,shortage
AUT,21,shortage
AUT,22,shortage
AUT,23,shortage
AUT,24,shortage
AUT,25,shortage
AUT,26,shortage
AUT,31,shortage
AUT,32,shortage
AUT,33,shortage
AUT,34,shortage
AUT,35,shortage
AUT,41,shortage
AUT,42,shortage
AUT,43,shortage
AUT,44,surplus
AUT,51,surplus
AUT,52,surplus
AUT,53,shortage
AUT,54,surplus
AUT,61,surplus
AUT,71,surplus
AUT,72,shortage
AUT,73,shortage
AUT,74,surplus
AUT,75,surplus
AUT,81,shortage
AUT,82,surplus
AUT,83,surplus
AUT,91,shortage
AUT,93,surplus
AUT,94,surplus
AUT,96,shortage
BEL,11,surplus
BEL,21,shortage
BEL,22,shortage
BEL,23,shortage
BEL,24,surplus
BEL,25,shortage
BEL,26,shortage
BEL,31,shortage
BEL,32,shortage
BEL,33,shortage
BEL,34,shortage
BEL,35,shortage
BEL,41,surplus
BEL,42,surplus
BEL,43,surplus
BEL,44,surplus
BEL,51,shortage
BEL,52,surplus
BEL,53,shortage
BEL,54,surplus
BEL,61,shortage
BEL,71,surplus
BEL,72,surplus
BEL,73,surplus
BEL,74,shortage
BEL,75,surplus
BEL,81,shortage
BEL,82,surplus
BEL,83,shortage
BEL,91,surplus
BEL,93,surplus
BEL,94,surplus
BEL,96,surplus
BGR,11,shortage
BGR,21,shortage
BGR,22,shortage
BGR,23,shortage
BGR,24,surplus
BGR,25,shortage
BGR,26,shortage
BGR,31,shortage
BGR,32,shortage
BGR,33,shortage
BGR,34,shortage
BGR,35,shortage
BGR,41,surplus
BGR,42,shortage
BGR,43,surplus
BGR,44,shortage
BGR,51,surplus
BGR,52,shortage
BGR,53,surplus
BGR,54,surplus
BGR,61,surplus
BGR,71,surplus
BGR,72,shortage
BGR,73,surplus
BGR,74,surplus
BGR,75,shortage
BGR,81,surplus
BGR,82,shortage
BGR,83,shortage
BGR,91,surplus
BGR,93,surplus
BGR,94,shortage
BGR,96,surplus
CHE,11,surplus
CHE,21,shortage
CHE,22,surplus
CHE,23,shortage
CHE,24,surplus
CHE,25,surplus
CHE,26,shortage
CHE,31,surplus
CHE,32,shortage
CHE,33,surplus
CHE,34,shortage
CHE,35,shortage
CHE,41,shortage
CHE,42,surplus
CHE,43,surplus
CHE,44,surplus
CHE,51,surplus
CHE,52,surplus
CHE,53,shortage
CHE,54,surplus
CHE,61,shortage
CHE,71,surplus
CHE,72,surplus
CHE,73,shortage
CHE,74,shortage
CHE,75,shortage
CHE,81,surplus
CHE,82,shortage
CHE,83,surplus
CHE,91,shortage
CHE,93,surplus
CHE,96,shortage
CYP,11,surplus
CYP,21,shortage
CYP,22,shortage
CYP,23,shortage
CYP,24,shortage
CYP,25,shortage
CYP,26,shortage
CYP,31,surplus
CYP,32,surplus
CYP,33,shortage
CYP,34,surplus
CYP,35,shortage
CYP,41,shortage
CYP,42,surplus
CYP,43,shortage
CYP,44,shortage
CYP,51,surplus
CYP,52,surplus
CYP,53,surplus
CYP,54,shortage
CYP,61,shortage
CYP,71,surplus
CYP,72,surplus
CYP,73,shortage
CYP,74,surplus
CYP,75,shortage
CYP,81,surplus
CYP,83,surplus
CYP,91,shortage
CYP,93,surplus
CYP,94,shortage
CYP,96,shortage
CZE,11,shortage
CZE,21,surplus
CZE,22,shortage
CZE,23,surplus
CZE,24,shortage
CZE,25,shortage
CZE,26,surplus
CZE,31,shortage
CZE,32,shortage
CZE,33,surplus
CZE,34,surplus
CZE,35,shortage
CZE,41,shortage
CZE,42,shortage
CZE,43,shortage
CZE,44,shortage
CZE,51,shortage
CZE,52,surplus
CZE,53,shortage
CZE,54,surplus
CZE,61,surplus
CZE,71,surplus
CZE,72,shortage
CZE,73,shortage
CZE,74,shortage
CZE,75,shortage
CZE,81,surplus
CZE,82,surplus
CZE,83,surplus
CZE,91,surplus
CZE,93,surplus
CZE,94,surplus
CZE,96,shortage
DEU,11,shortage
DEU,21,shortage
DEU,22,shortage
DEU,23,shortage
DEU,24,shortage
DEU,25,shortage
DEU,26,shortage
DEU,31,shortage
DEU,32,surplus
DEU,33,shortage
DEU,34,shortage
DEU,35,shortage
DEU,41,surplus
DEU,42,shortage
DEU,43,shortage
DEU,44,shortage
DEU,51,surplus
DEU,52,shortage
DEU,53,surplus
DEU,54,shortage
DEU,61,surplus
DEU,71,surplus
DEU,72,shortage
DEU,73,surplus
DEU,74,shortage
DEU,75,surplus
DEU,81,surplus
DEU,82,surplus
DEU,83,surplus
